City,Date,Year,Month,DAY,pm2_5,pm10,no2,so2,co,AQI,AQI Status,Health Risk
Delhi,2024-03-20,2024,3,20,95,130,25,26,0.43,91,Moderate,18
Delhi,2024-03-21,2024,3,21,239,317,56,34,2.2,225,Very Poor,45
Delhi,2024-03-22,2024,3,22,223,248,57,25,1.39,197,Poor,39
Delhi,2024-03-23,2024,3,23,273,376,32,14,2.39,255,Very Poor,51
Delhi,2024-03-24,2024,3,24,119,162,61,35,0.43,120,Poor,24
Delhi,2024-03-25,2024,3,25,166,233,10,9,1.84,154,Poor,31
Delhi,2024-03-26,2024,3,26,35,68,89,6,0.46,55,Moderate,11
Delhi,2024-03-27,2024,3,27,179,279,33,16,1.22,179,Poor,36
Delhi,2024-03-28,2024,3,28,52,94,70,16,1.21,68,Moderate,14
Delhi,2024-03-29,2024,3,29,187,270,52,33,0.55,184,Poor,37
Delhi,2024-03-30,2024,3,30,114,169,11,39,1.11,109,Poor,22
Delhi,2024-03-31,2024,3,31,109,126,35,14,0.45,99,Moderate,20
Delhi,2024-04-01,2024,4,1,134,248,16,8,1.86,144,Poor,29
Delhi,2024-04-02,2024,4,2,133,251,84,33,0.48,158,Poor,32
Delhi,2024-04-03,2024,4,3,236,266,45,14,1.29,206,Very Poor,41
Delhi,2024-04-04,2024,4,4,211,319,58,39,1.27,212,Very Poor,42
Delhi,2024-04-05,2024,4,5,115,148,32,36,2.2,108,Poor,22
Delhi,2024-04-06,2024,4,6,202,224,32,29,0.9,174,Poor,35
Delhi,2024-04-07,2024,4,7,292,363,22,23,1.22,259,Very Poor,52
Delhi,2024-04-08,2024,4,8,252,280,85,13,1.07,227,Very Poor,45
Delhi,2024-04-09,2024,4,9,225,329,61,23,1.44,223,Very Poor,45
Delhi,2024-04-10,2024,4,10,163,241,21,29,1.56,158,Poor,32
Delhi,2024-04-11,2024,4,11,72,104,25,18,1.55,72,Moderate,14
Delhi,2024-04-12,2024,4,12,152,196,84,22,2.43,151,Poor,30
Delhi,2024-04-13,2024,4,13,28,111,67,21,0.61,60,Moderate,12
Delhi,2024-04-14,2024,4,14,26,81,22,13,2.13,41,Good,8
Delhi,2024-04-15,2024,4,15,141,216,14,33,0.58,138,Poor,28
Delhi,2024-04-16,2024,4,16,155,273,74,26,2.11,174,Poor,35
Delhi,2024-04-17,2024,4,17,236,290,13,10,1.89,207,Very Poor,41
Delhi,2024-04-18,2024,4,18,294,364,63,31,0.92,268,Very Poor,54
Delhi,2024-04-19,2024,4,19,38,86,76,17,1.25,60,Moderate,12
Delhi,2024-04-20,2024,4,20,145,212,29,32,2.01,141,Poor,28
Delhi,2024-04-21,2024,4,21,20,32,86,32,2.42,36,Good,7
Delhi,2024-04-22,2024,4,22,210,244,65,37,0.87,191,Poor,38
Delhi,2024-04-23,2024,4,23,153,220,53,36,1.57,153,Poor,31
Delhi,2024-04-24,2024,4,24,168,257,84,39,1.86,177,Poor,35
Delhi,2024-04-25,2024,4,25,66,180,58,18,1.02,98,Moderate,20
Delhi,2024-04-26,2024,4,26,20,83,12,20,1.95,37,Good,7
Delhi,2024-04-27,2024,4,27,31,114,25,12,1.23,54,Moderate,11
Delhi,2024-04-28,2024,4,28,175,192,45,30,1.22,154,Poor,31
Delhi,2024-04-29,2024,4,29,197,234,50,31,1.87,178,Poor,36
Delhi,2024-04-30,2024,4,30,164,246,42,24,1.67,164,Poor,33
Delhi,2024-05-01,2024,5,1,259,297,22,39,2.13,223,Very Poor,45
Delhi,2024-05-02,2024,5,2,101,179,56,29,1.28,115,Poor,23
Delhi,2024-05-03,2024,5,3,261,379,14,37,2.03,247,Very Poor,49
Delhi,2024-05-04,2024,5,4,165,270,58,15,1.65,175,Poor,35
Delhi,2024-05-05,2024,5,5,82,180,68,31,1.6,108,Poor,22
Delhi,2024-05-06,2024,5,6,117,231,10,25,0.52,129,Poor,26
Delhi,2024-05-07,2024,5,7,25,126,78,35,1.97,65,Moderate,13
Delhi,2024-05-08,2024,5,8,278,340,32,14,2.18,247,Very Poor,49
Delhi,2024-05-09,2024,5,9,164,258,87,13,0.67,176,Poor,35
Delhi,2024-05-10,2024,5,10,70,124,86,8,0.88,89,Moderate,18
Delhi,2024-05-11,2024,5,11,53,154,81,30,1.45,88,Moderate,18
Delhi,2024-05-12,2024,5,12,137,149,59,16,2.11,124,Poor,25
Delhi,2024-05-13,2024,5,13,255,269,66,21,0.68,221,Very Poor,44
Delhi,2024-05-14,2024,5,14,226,336,23,6,2.09,218,Very Poor,44
Delhi,2024-05-15,2024,5,15,122,169,73,38,1.14,126,Poor,25
Delhi,2024-05-16,2024,5,16,117,208,39,19,1.32,128,Poor,26
Delhi,2024-05-17,2024,5,17,268,315,88,34,1.71,246,Very Poor,49
Delhi,2024-05-18,2024,5,18,70,160,14,33,0.71,85,Moderate,17
Delhi,2024-05-19,2024,5,19,203,229,83,21,0.94,186,Poor,37
Delhi,2024-05-20,2024,5,20,88,131,15,6,1.09,86,Moderate,17
Delhi,2024-05-21,2024,5,21,254,306,84,27,0.67,235,Very Poor,47
Delhi,2024-05-22,2024,5,22,114,198,25,12,0.78,121,Poor,24
Delhi,2024-05-23,2024,5,23,203,237,76,36,1.4,187,Poor,37
Delhi,2024-05-24,2024,5,24,112,153,59,23,2.13,113,Poor,23
Delhi,2024-05-25,2024,5,25,111,162,70,26,0.59,118,Poor,24
Delhi,2024-05-26,2024,5,26,20,34,21,30,2.28,24,Good,5
Delhi,2024-05-27,2024,5,27,97,196,54,31,0.48,118,Poor,24
Delhi,2024-05-28,2024,5,28,268,324,65,34,0.73,244,Very Poor,49
Delhi,2024-05-29,2024,5,29,67,137,35,5,0.58,81,Moderate,16
Delhi,2024-05-30,2024,5,30,272,333,88,26,0.9,253,Very Poor,51
Delhi,2024-05-31,2024,5,31,47,143,87,28,1.91,83,Moderate,17
Delhi,2024-06-01,2024,6,1,173,196,68,11,1.84,158,Poor,32
Delhi,2024-06-02,2024,6,2,257,373,27,39,1.23,245,Very Poor,49
Delhi,2024-06-03,2024,6,3,211,309,37,14,1.58,205,Very Poor,41
Delhi,2024-06-04,2024,6,4,292,404,53,29,2.27,277,Very Poor,55
Delhi,2024-06-05,2024,6,5,231,265,77,14,2.06,210,Very Poor,42
Delhi,2024-06-06,2024,6,6,128,155,43,12,1.63,119,Poor,24
Delhi,2024-06-07,2024,6,7,255,347,51,10,2.29,241,Very Poor,48
Delhi,2024-06-08,2024,6,8,245,313,65,10,1.67,229,Very Poor,46
Delhi,2024-06-09,2024,6,9,169,199,79,10,0.92,160,Poor,32
Delhi,2024-06-10,2024,6,10,23,126,84,34,0.76,66,Moderate,13
Delhi,2024-06-11,2024,6,11,156,168,40,28,0.64,136,Poor,27
Delhi,2024-06-12,2024,6,12,239,323,13,19,2.12,218,Very Poor,44
Delhi,2024-06-13,2024,6,13,113,224,60,6,1.57,135,Poor,27
Delhi,2024-06-14,2024,6,14,45,105,54,9,0.79,64,Moderate,13
Delhi,2024-06-15,2024,6,15,137,214,28,24,1.47,138,Poor,28
Delhi,2024-06-16,2024,6,16,132,153,56,5,1.68,123,Poor,25
Delhi,2024-06-17,2024,6,17,57,103,20,17,1.52,63,Moderate,13
Delhi,2024-06-18,2024,6,18,180,195,59,14,1.55,160,Poor,32
Delhi,2024-06-19,2024,6,19,157,210,11,17,1.84,143,Poor,29
Delhi,2024-06-20,2024,6,20,103,177,72,13,2,119,Poor,24
Delhi,2024-06-21,2024,6,21,57,101,58,9,2.14,70,Moderate,14
Delhi,2024-06-22,2024,6,22,255,314,87,15,2.37,239,Very Poor,48
Delhi,2024-06-23,2024,6,23,95,203,44,5,1.96,117,Poor,23
Delhi,2024-06-24,2024,6,24,79,152,81,15,2.07,101,Poor,20
Delhi,2024-06-25,2024,6,25,289,358,39,39,0.74,259,Very Poor,52
Delhi,2024-06-26,2024,6,26,24,116,87,30,2.31,64,Moderate,13
Delhi,2024-06-27,2024,6,27,108,226,51,29,1.83,132,Poor,26
Delhi,2024-06-28,2024,6,28,123,146,41,37,1.97,113,Poor,23
Delhi,2024-06-29,2024,6,29,162,268,34,21,2.29,168,Poor,34
Delhi,2024-06-30,2024,6,30,123,236,60,10,2.37,144,Poor,29
Delhi,2024-07-01,2024,7,1,198,279,51,19,2.25,192,Poor,38
Delhi,2024-07-02,2024,7,2,250,286,45,33,0.72,219,Very Poor,44
Delhi,2024-07-03,2024,7,3,116,226,36,37,0.47,133,Poor,27
Delhi,2024-07-04,2024,7,4,105,180,19,9,2.24,110,Poor,22
Delhi,2024-07-05,2024,7,5,137,184,22,35,1.2,128,Poor,26
Delhi,2024-07-06,2024,7,6,235,296,65,19,2.07,219,Very Poor,44
Delhi,2024-07-07,2024,7,7,280,318,56,8,1.92,246,Very Poor,49
Delhi,2024-07-08,2024,7,8,149,185,45,30,0.93,139,Poor,28
Delhi,2024-07-09,2024,7,9,88,117,20,14,1.12,83,Moderate,17
Delhi,2024-07-10,2024,7,10,153,234,32,30,2.39,153,Poor,31
Delhi,2024-07-11,2024,7,11,237,259,71,22,1.68,210,Very Poor,42
Delhi,2024-07-12,2024,7,12,130,243,69,16,0.61,151,Poor,30
Delhi,2024-07-13,2024,7,13,152,198,81,32,1.19,151,Poor,30
Delhi,2024-07-14,2024,7,14,70,108,87,26,2.31,84,Moderate,17
Delhi,2024-07-15,2024,7,15,276,331,30,30,2.16,243,Very Poor,49
Delhi,2024-07-16,2024,7,16,201,297,66,5,2.23,202,Very Poor,40
Delhi,2024-07-17,2024,7,17,74,123,24,25,1.2,78,Moderate,16
Delhi,2024-07-18,2024,7,18,156,239,61,30,1.1,161,Poor,32
Delhi,2024-07-19,2024,7,19,82,116,84,6,1.38,92,Moderate,18
Delhi,2024-07-20,2024,7,20,36,88,68,28,1.61,58,Moderate,12
Delhi,2024-07-21,2024,7,21,199,278,42,33,1.62,191,Poor,38
Delhi,2024-07-22,2024,7,22,169,204,37,25,1.48,153,Poor,31
Delhi,2024-07-23,2024,7,23,103,217,58,24,1.27,128,Poor,26
Delhi,2024-07-24,2024,7,24,82,152,58,11,1.65,98,Moderate,20
Delhi,2024-07-25,2024,7,25,160,263,60,23,1.13,170,Poor,34
Delhi,2024-07-26,2024,7,26,177,215,58,33,1.39,164,Poor,33
Delhi,2024-07-27,2024,7,27,38,65,10,18,1.9,40,Good,8
Delhi,2024-07-28,2024,7,28,213,314,47,8,0.78,210,Very Poor,42
Delhi,2024-07-29,2024,7,29,74,186,12,36,0.97,95,Moderate,19
Delhi,2024-07-30,2024,7,30,181,287,64,32,2.16,189,Poor,38
Delhi,2024-07-31,2024,7,31,27,101,66,7,0.89,57,Moderate,11
Delhi,2024-08-01,2024,8,1,274,355,63,7,2.26,256,Very Poor,51
Delhi,2024-08-02,2024,8,2,111,128,43,39,0.91,102,Poor,20
Delhi,2024-08-03,2024,8,3,97,138,55,20,1.23,100,Moderate,20
Delhi,2024-08-04,2024,8,4,184,247,23,35,1.08,170,Poor,34
Delhi,2024-08-05,2024,8,5,26,109,16,37,0.84,48,Good,10
Delhi,2024-08-06,2024,8,6,166,194,45,33,1.28,150,Poor,30
Delhi,2024-08-07,2024,8,7,21,31,56,9,1.12,31,Good,6
Delhi,2024-08-08,2024,8,8,253,264,76,27,0.47,220,Very Poor,44
Delhi,2024-08-09,2024,8,9,39,53,46,34,1.16,44,Good,9
Delhi,2024-08-10,2024,8,10,72,125,33,21,2.22,80,Moderate,16
Delhi,2024-08-11,2024,8,11,139,207,23,13,1.54,136,Poor,27
Delhi,2024-08-12,2024,8,12,256,290,82,26,2.15,231,Very Poor,46
Delhi,2024-08-13,2024,8,13,23,58,67,33,0.76,42,Good,8
Delhi,2024-08-14,2024,8,14,234,280,84,10,2.32,217,Very Poor,43
Delhi,2024-08-15,2024,8,15,61,170,50,38,1.56,91,Moderate,18
Delhi,2024-08-16,2024,8,16,172,283,85,27,0.62,187,Poor,37
Delhi,2024-08-17,2024,8,17,46,112,40,10,1.94,64,Moderate,13
Delhi,2024-08-18,2024,8,18,117,138,62,11,1.6,112,Poor,22
Delhi,2024-08-19,2024,8,19,209,264,73,6,0.75,198,Poor,40
Delhi,2024-08-20,2024,8,20,212,272,62,30,0.54,200,Poor,40
Delhi,2024-08-21,2024,8,21,286,335,20,39,2.39,247,Very Poor,49
Delhi,2024-08-22,2024,8,22,74,107,31,9,1.42,75,Moderate,15
Delhi,2024-08-23,2024,8,23,269,314,29,23,1.65,234,Very Poor,47
Delhi,2024-08-24,2024,8,24,220,255,75,13,0.56,201,Very Poor,40
Delhi,2024-08-25,2024,8,25,36,46,70,29,0.92,45,Good,9
Delhi,2024-08-26,2024,8,26,150,260,53,34,0.41,163,Poor,33
Delhi,2024-08-27,2024,8,27,31,59,53,21,2.4,43,Good,9
Delhi,2024-08-28,2024,8,28,31,102,89,28,1.99,63,Moderate,13
Delhi,2024-08-29,2024,8,29,168,258,89,10,2.46,179,Poor,36
Delhi,2024-08-30,2024,8,30,108,129,24,30,0.51,97,Moderate,19
Delhi,2024-08-31,2024,8,31,45,101,41,14,1.64,61,Moderate,12
Delhi,2024-09-01,2024,9,1,105,121,23,19,1.86,93,Moderate,19
Delhi,2024-09-02,2024,9,2,156,213,81,27,2.07,158,Poor,32
Delhi,2024-09-03,2024,9,3,242,345,48,39,1.07,234,Very Poor,47
Delhi,2024-09-04,2024,9,4,122,148,23,35,1.17,110,Poor,22
Delhi,2024-09-05,2024,9,5,127,196,54,38,2.26,133,Poor,27
Delhi,2024-09-06,2024,9,6,190,239,64,27,0.54,179,Poor,36
Delhi,2024-09-07,2024,9,7,34,47,34,17,1.71,37,Good,7
Delhi,2024-09-08,2024,9,8,35,153,51,6,0.45,73,Moderate,15
Delhi,2024-09-09,2024,9,9,189,232,39,17,1.51,171,Poor,34
Delhi,2024-09-10,2024,9,10,115,223,48,33,2.01,134,Poor,27
Delhi,2024-09-11,2024,9,11,264,381,66,20,2.23,259,Very Poor,52
Delhi,2024-09-12,2024,9,12,258,277,39,29,1.11,219,Very Poor,44
Delhi,2024-09-13,2024,9,13,84,187,58,7,1.38,109,Poor,22
Delhi,2024-09-14,2024,9,14,177,254,27,29,0.98,170,Poor,34
Delhi,2024-09-15,2024,9,15,92,116,58,28,0.66,92,Moderate,18
Delhi,2024-09-16,2024,9,16,206,252,70,10,2.46,192,Poor,38
Delhi,2024-09-17,2024,9,17,30,101,86,38,0.75,62,Moderate,12
Delhi,2024-09-18,2024,9,18,71,84,68,12,2.38,74,Moderate,15
Delhi,2024-09-19,2024,9,19,82,145,83,38,1.21,101,Poor,20
Delhi,2024-09-20,2024,9,20,260,272,15,9,0.52,214,Very Poor,43
Delhi,2024-09-21,2024,9,21,66,162,58,13,2.35,93,Moderate,19
Delhi,2024-09-22,2024,9,22,260,330,44,22,1.86,237,Very Poor,47
Delhi,2024-09-23,2024,9,23,235,247,41,39,0.87,199,Poor,40
Delhi,2024-09-24,2024,9,24,139,237,82,8,1.62,157,Poor,31
Delhi,2024-09-25,2024,9,25,117,137,65,7,0.97,112,Poor,22
Delhi,2024-09-26,2024,9,26,48,66,76,29,2.19,59,Moderate,12
Delhi,2024-09-27,2024,9,27,189,207,88,29,1.56,174,Poor,35
Delhi,2024-09-28,2024,9,28,245,342,88,12,1.86,242,Very Poor,48
Delhi,2024-09-29,2024,9,29,195,294,27,10,2.42,191,Poor,38
Delhi,2024-09-30,2024,9,30,195,281,37,9,2.48,189,Poor,38
Delhi,2024-10-01,2024,10,1,133,182,54,36,1.48,131,Poor,26
Delhi,2024-10-02,2024,10,2,134,201,76,38,1.54,142,Poor,28
Delhi,2024-10-03,2024,10,3,256,298,15,28,2.07,220,Very Poor,44
Delhi,2024-10-04,2024,10,4,187,288,68,17,2.16,193,Poor,39
Delhi,2024-10-05,2024,10,5,200,251,72,31,1.98,189,Poor,38
Delhi,2024-10-06,2024,10,6,26,40,54,35,2.13,35,Good,7
Delhi,2024-10-07,2024,10,7,179,295,62,34,2.31,190,Poor,38
Delhi,2024-10-08,2024,10,8,101,210,11,18,1.99,115,Poor,23
Delhi,2024-10-09,2024,10,9,31,79,75,36,0.58,54,Moderate,11
Delhi,2024-10-10,2024,10,10,174,288,26,35,1.19,178,Poor,36
Delhi,2024-10-11,2024,10,11,182,261,39,11,1.54,177,Poor,35
Delhi,2024-10-12,2024,10,12,243,350,72,32,1.73,240,Very Poor,48
Delhi,2024-10-13,2024,10,13,241,287,31,8,0.76,212,Very Poor,42
Delhi,2024-10-14,2024,10,14,261,338,73,21,2.02,246,Very Poor,49
Delhi,2024-10-15,2024,10,15,212,243,59,18,2.44,190,Poor,38
Delhi,2024-10-16,2024,10,16,223,268,61,16,0.45,204,Very Poor,41
Delhi,2024-10-17,2024,10,17,52,67,88,36,2.02,63,Moderate,13
Delhi,2024-10-18,2024,10,18,77,173,35,38,0.97,97,Moderate,19
Delhi,2024-10-19,2024,10,19,23,113,22,19,2.07,49,Good,10
Delhi,2024-10-20,2024,10,20,176,260,41,6,2.02,174,Poor,35
Delhi,2024-10-21,2024,10,21,103,134,84,31,2.22,108,Poor,22
Delhi,2024-10-22,2024,10,22,255,320,30,20,2.2,229,Very Poor,46
Delhi,2024-10-23,2024,10,23,103,118,28,9,2.47,92,Moderate,18
Delhi,2024-10-24,2024,10,24,276,343,47,19,1.97,250,Very Poor,50
Delhi,2024-10-25,2024,10,25,182,255,34,28,1.17,174,Poor,35
Delhi,2024-10-26,2024,10,26,290,407,89,31,2.43,284,Very Poor,57
Delhi,2024-10-27,2024,10,27,164,266,62,12,2.02,174,Poor,35
Delhi,2024-10-28,2024,10,28,193,252,80,7,2.07,188,Poor,38
Delhi,2024-10-29,2024,10,29,200,233,69,7,0.79,183,Poor,37
Delhi,2024-10-30,2024,10,30,34,68,87,11,0.66,54,Moderate,11
Delhi,2024-10-31,2024,10,31,255,348,18,26,1.62,235,Very Poor,47
Delhi,2024-11-01,2024,11,1,136,147,81,15,2.47,128,Poor,26
Delhi,2024-11-02,2024,11,2,228,309,30,22,1.83,212,Very Poor,42
Delhi,2024-11-03,2024,11,3,114,161,41,15,1.86,113,Poor,23
Delhi,2024-11-04,2024,11,4,121,171,17,15,1.41,115,Poor,23
Delhi,2024-11-05,2024,11,5,107,157,26,16,2.47,105,Poor,21
Delhi,2024-11-06,2024,11,6,179,267,89,26,0.84,187,Poor,37
Delhi,2024-11-07,2024,11,7,180,263,49,36,2.38,178,Poor,36
Delhi,2024-11-08,2024,11,8,21,127,42,17,0.57,57,Moderate,11
Delhi,2024-11-09,2024,11,9,96,131,31,6,2.45,93,Moderate,19
Delhi,2024-11-10,2024,11,10,109,164,24,38,0.49,108,Poor,22
Delhi,2024-11-11,2024,11,11,142,157,18,10,1.69,121,Poor,24
Delhi,2024-11-12,2024,11,12,242,283,50,16,2.23,215,Very Poor,43
Delhi,2024-11-13,2024,11,13,197,298,71,24,1.11,202,Very Poor,40
Delhi,2024-11-14,2024,11,14,270,286,84,24,1.56,237,Very Poor,47
Delhi,2024-11-15,2024,11,15,41,76,12,18,0.57,45,Good,9
Delhi,2024-11-16,2024,11,16,31,127,21,17,1.41,57,Moderate,11
Delhi,2024-11-17,2024,11,17,262,290,64,12,2.23,230,Very Poor,46
Delhi,2024-11-18,2024,11,18,202,243,60,22,0.44,185,Poor,37
Delhi,2024-11-19,2024,11,19,230,261,46,36,1.54,202,Very Poor,40
Delhi,2024-11-20,2024,11,20,78,90,37,14,1.25,73,Moderate,15
Delhi,2024-11-21,2024,11,21,112,175,72,19,0.94,122,Poor,24
Delhi,2024-11-22,2024,11,22,232,272,67,28,1.29,211,Very Poor,42
Delhi,2024-11-23,2024,11,23,23,124,29,28,1.54,54,Moderate,11
Delhi,2024-11-24,2024,11,24,115,229,45,38,1.42,135,Poor,27
Delhi,2024-11-25,2024,11,25,85,173,43,10,1.78,103,Poor,21
Delhi,2024-11-26,2024,11,26,262,329,21,7,1.71,233,Very Poor,47
Delhi,2024-11-27,2024,11,27,59,89,24,37,0.68,61,Moderate,12
Delhi,2024-11-28,2024,11,28,27,136,51,18,2.44,64,Moderate,13
Delhi,2024-11-29,2024,11,29,60,131,69,18,1.48,83,Moderate,17
Delhi,2024-11-30,2024,11,30,103,114,79,21,1.22,101,Poor,20
Delhi,2024-12-01,2024,12,1,47,122,44,9,1.08,68,Moderate,14
Delhi,2024-12-02,2024,12,2,183,237,32,35,0.9,169,Poor,34
Delhi,2024-12-03,2024,12,3,214,237,89,14,1.34,195,Poor,39
Delhi,2024-12-04,2024,12,4,276,290,29,12,1.7,230,Very Poor,46
Delhi,2024-12-05,2024,12,5,20,86,73,24,1.2,50,Good,10
Delhi,2024-12-06,2024,12,6,126,172,56,16,1.4,125,Poor,25
Delhi,2024-12-07,2024,12,7,139,192,65,32,2.21,140,Poor,28
Delhi,2024-12-08,2024,12,8,127,197,29,18,0.52,128,Poor,26
Delhi,2024-12-09,2024,12,9,39,74,38,5,0.66,49,Good,10
Delhi,2024-12-10,2024,12,10,217,327,68,9,0.62,220,Very Poor,44
Delhi,2024-12-11,2024,12,11,198,285,21,24,2.47,188,Poor,38
Delhi,2024-12-12,2024,12,12,235,287,59,33,2.22,215,Very Poor,43
Delhi,2024-12-13,2024,12,13,242,307,52,27,1.8,223,Very Poor,45
Delhi,2024-12-14,2024,12,14,170,224,61,20,2.37,164,Poor,33
Delhi,2024-12-15,2024,12,15,27,121,10,12,0.73,51,Moderate,10
